job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary
AI Engineer,11,Bachelor,7,Telecom,Startup,Canada,Hybrid,3,164009
DevOps Engineer,7,Master,14,Healthcare,Small,India,Hybrid,1,79594
Frontend Developer,10,Bachelor,2,Retail,Startup,India,Yes,5,74090
AI Engineer,8,Bachelor,9,Healthcare,Medium,Germany,No,4,177193
Software Engineer,2,Diploma,12,Retail,Large,Singapore,Hybrid,4,120012
Cloud Engineer,9,High School,2,Education,Enterprise,Canada,Hybrid,2,163369
Frontend Developer,0,PhD,5,Education,Medium,Singapore,Yes,1,111889
Product Manager,5,High School,5,Telecom,Small,India,No,0,75418
Data Analyst,11,Bachelor,1,Government,Small,Remote,Hybrid,3,103067
AI Engineer,16,PhD,9,Technology,Startup,Germany,No,1,190692
DevOps Engineer,7,PhD,17,Consulting,Large,India,Hybrid,1,114616
Data Scientist,18,Diploma,13,Government,Enterprise,UK,Yes,4,213768
Business Analyst,12,Master,14,Finance,Medium,Australia,Yes,2,126256
Business Analyst,12,Bachelor,14,Healthcare,Startup,Remote,Hybrid,3,99105
AI Engineer,19,PhD,3,Education,Large,USA,Hybrid,4,277977
Backend Developer,20,Master,5,Government,Startup,Germany,Yes,0,153683
Data Analyst,20,PhD,13,Media,Enterprise,USA,Yes,0,235839
Backend Developer,10,Master,11,Technology,Medium,Germany,No,3,149179
Machine Learning Engineer,6,Bachelor,11,Telecom,Small,Australia,Hybrid,2,130145
AI Engineer,15,Bachelor,11,Government,Medium,Remote,Hybrid,4,171868
Machine Learning Engineer,11,Bachelor,19,Healthcare,Large,Netherlands,Yes,1,176316
AI Engineer,1,Diploma,12,Telecom,Large,Netherlands,Yes,1,151573
Business Analyst,15,High School,16,Media,Medium,India,No,5,85155
Cybersecurity Analyst,13,PhD,17,Telecom,Small,USA,No,5,211079
Backend Developer,11,Master,5,Technology,Enterprise,UK,Yes,5,193655
Frontend Developer,8,PhD,16,Healthcare,Large,UK,No,4,174809
Software Engineer,2,Bachelor,17,Consulting,Startup,Singapore,Yes,4,110007
Machine Learning Engineer,5,Diploma,16,Telecom,Startup,Sweden,Hybrid,0,125885
AI Engineer,8,Bachelor,1,Telecom,Enterprise,UK,Yes,4,210860
Business Analyst,5,PhD,19,Finance,Startup,Sweden,Hybrid,2,112184
DevOps Engineer,16,Bachelor,12,Technology,Large,Australia,No,4,174141
Product Manager,10,High School,5,Retail,Large,Remote,Hybrid,3,136760
AI Engineer,2,Master,7,Telecom,Enterprise,Canada,Yes,1,215145
AI Engineer,20,PhD,5,Manufacturing,Small,UK,Hybrid,2,217694
Backend Developer,20,Master,8,Manufacturing,Small,Germany,No,2,160372
Machine Learning Engineer,6,PhD,8,Government,Small,Australia,No,2,150228
Business Analyst,11,Master,11,Retail,Small,Netherlands,Hybrid,1,109413
Data Analyst,11,Diploma,17,Consulting,Small,USA,Yes,1,139571
Frontend Developer,6,Bachelor,6,Government,Medium,Sweden,Yes,2,103811
Software Engineer,7,High School,10,Technology,Large,Canada,No,2,147598
Cloud Engineer,1,Master,1,Government,Medium,Remote,Hybrid,1,110254
Product Manager,2,Master,1,Consulting,Large,Remote,No,0,130462
AI Engineer,2,Master,10,Education,Large,Sweden,Hybrid,2,162248
Cybersecurity Analyst,12,Master,19,Media,Large,Remote,No,3,177206
DevOps Engineer,14,Master,10,Government,Enterprise,Remote,Hybrid,1,178303
DevOps Engineer,7,Diploma,1,Education,Small,Singapore,Hybrid,4,115045
Backend Developer,12,Bachelor,8,Telecom,Medium,Canada,Yes,4,157499
Business Analyst,18,High School,9,Consulting,Large,USA,No,4,177966
Cloud Engineer,11,Diploma,3,Manufacturing,Startup,India,Yes,4,85243
Business Analyst,2,Diploma,19,Media,Small,Germany,Yes,3,94452
Data Analyst,14,Bachelor,16,Technology,Startup,Canada,Yes,0,134334
DevOps Engineer,5,Diploma,10,Media,Startup,UK,No,0,110496
Frontend Developer,11,High School,9,Telecom,Enterprise,UK,Hybrid,2,149449
Machine Learning Engineer,18,Diploma,12,Education,Medium,Singapore,Yes,5,175198
Backend Developer,16,Bachelor,11,Consulting,Small,Netherlands,No,4,131376
Cloud Engineer,16,Master,17,Finance,Enterprise,Australia,Yes,2,196032
Cybersecurity Analyst,10,Bachelor,19,Media,Enterprise,Netherlands,Hybrid,1,165706
DevOps Engineer,0,PhD,9,Finance,Startup,India,Yes,3,89019
Backend Developer,4,Master,18,Media,Large,USA,Yes,3,186211
Backend Developer,4,Bachelor,1,Retail,Enterprise,UK,No,2,149564
Data Scientist,18,Diploma,1,Telecom,Large,Remote,Hybrid,4,153419
Cloud Engineer,2,High School,11,Education,Medium,Germany,Hybrid,0,119178
Cloud Engineer,18,PhD,14,Education,Enterprise,Remote,No,5,224683
Cybersecurity Analyst,14,High School,1,Retail,Medium,India,Yes,0,93675
Frontend Developer,5,Diploma,4,Media,Medium,Singapore,Yes,5,102700
Cloud Engineer,10,PhD,17,Retail,Startup,India,Yes,4,112408
Machine Learning Engineer,5,Diploma,5,Government,Enterprise,Netherlands,No,3,149028
Cybersecurity Analyst,20,High School,15,Media,Startup,Sweden,No,1,147176
Frontend Developer,20,High School,4,Retail,Small,Australia,No,2,122516
Backend Developer,4,PhD,9,Media,Large,India,Yes,1,105672
DevOps Engineer,8,High School,13,Finance,Startup,Singapore,No,4,112820
Cybersecurity Analyst,4,Bachelor,1,Media,Large,Netherlands,No,4,129558
Cloud Engineer,7,High School,3,Retail,Startup,Canada,Hybrid,1,132641
Software Engineer,16,PhD,10,Retail,Enterprise,Australia,No,3,189803
Cybersecurity Analyst,15,Bachelor,12,Consulting,Startup,Netherlands,Hybrid,0,130020
Data Analyst,0,Master,3,Finance,Enterprise,Germany,Yes,4,128283
Business Analyst,18,Diploma,1,Healthcare,Enterprise,Netherlands,Yes,0,145627
Machine Learning Engineer,18,Bachelor,16,Government,Large,Canada,No,5,231967
Backend Developer,4,PhD,1,Consulting,Medium,USA,Hybrid,1,157097
Product Manager,20,Bachelor,3,Consulting,Enterprise,Canada,No,5,232676
AI Engineer,2,Master,16,Consulting,Startup,Singapore,Yes,2,135032
Cybersecurity Analyst,0,Diploma,6,Consulting,Large,India,No,3,81552
Product Manager,13,Master,4,Education,Enterprise,Canada,Hybrid,4,223844
Business Analyst,17,Master,16,Media,Medium,Germany,Hybrid,1,151402
Data Analyst,3,High School,8,Education,Enterprise,Germany,No,1,107497
Backend Developer,5,Diploma,4,Telecom,Enterprise,UK,Yes,2,145192
Frontend Developer,18,Bachelor,2,Media,Large,Germany,No,3,159684
Data Analyst,3,High School,14,Media,Medium,Remote,Yes,2,99078
AI Engineer,1,Diploma,2,Retail,Enterprise,Germany,Yes,0,156052
DevOps Engineer,16,Bachelor,19,Retail,Startup,Singapore,No,5,148565
Machine Learning Engineer,14,Bachelor,17,Healthcare,Medium,USA,No,1,209704
Backend Developer,6,Diploma,5,Technology,Medium,Singapore,Yes,3,106026
Business Analyst,0,PhD,4,Retail,Small,Sweden,No,5,87984
Frontend Developer,17,High School,5,Education,Small,Remote,No,1,108872
Cloud Engineer,10,Diploma,1,Healthcare,Medium,Singapore,Hybrid,2,125489
Frontend Developer,5,Diploma,5,Manufacturing,Startup,Australia,Yes,2,90015
Business Analyst,18,PhD,1,Retail,Large,Netherlands,Hybrid,2,158255
AI Engineer,19,PhD,16,Retail,Large,USA,Yes,5,302707
AI Engineer,19,High School,15,Manufacturing,Large,India,Yes,0,133118
Cloud Engineer,11,PhD,1,Finance,Large,Canada,No,1,200492
Software Engineer,4,Bachelor,13,Manufacturing,Enterprise,Canada,Hybrid,3,169538
Machine Learning Engineer,6,Master,19,Education,Small,India,Hybrid,1,96671
Cloud Engineer,0,Diploma,12,Healthcare,Startup,Germany,No,1,106465
DevOps Engineer,12,High School,12,Healthcare,Small,USA,No,2,163948
Cybersecurity Analyst,2,Master,17,Government,Medium,Netherlands,Hybrid,4,126786
Data Scientist,16,Master,3,Finance,Enterprise,Sweden,Hybrid,0,178115
DevOps Engineer,14,High School,9,Retail,Startup,Remote,No,5,127970
Frontend Developer,2,PhD,2,Technology,Medium,Netherlands,No,0,111528
Backend Developer,3,PhD,11,Education,Startup,UK,Hybrid,2,126647
Machine Learning Engineer,5,Master,10,Telecom,Medium,USA,No,4,192223
Product Manager,20,Diploma,15,Finance,Enterprise,USA,Hybrid,3,262079
DevOps Engineer,13,Diploma,7,Manufacturing,Small,Australia,Hybrid,0,123538
DevOps Engineer,5,Diploma,12,Education,Medium,Sweden,No,3,121188
DevOps Engineer,2,Diploma,1,Healthcare,Medium,Sweden,Yes,1,95483
Machine Learning Engineer,0,Bachelor,14,Finance,Large,India,Yes,4,100318
AI Engineer,7,PhD,5,Consulting,Enterprise,Canada,Hybrid,2,232814
Data Analyst,19,Bachelor,14,Retail,Medium,Germany,Yes,0,155858
Business Analyst,3,Master,1,Technology,Enterprise,Remote,No,4,118312
DevOps Engineer,13,Bachelor,9,Telecom,Small,Remote,Yes,5,134097
Machine Learning Engineer,19,PhD,4,Government,Medium,Australia,Hybrid,4,193452
Cloud Engineer,10,Master,6,Consulting,Small,USA,No,4,178548
Cloud Engineer,18,Master,3,Healthcare,Small,Canada,Yes,2,187091
Data Analyst,6,Bachelor,1,Education,Small,Germany,Hybrid,4,103845
Software Engineer,19,Bachelor,2,Finance,Small,India,Hybrid,4,100343
Backend Developer,5,Diploma,4,Retail,Small,UK,Yes,0,112322
Product Manager,7,Bachelor,13,Media,Medium,Netherlands,Yes,4,145794
AI Engineer,3,Diploma,18,Government,Large,Netherlands,Hybrid,5,157575
Cybersecurity Analyst,6,Master,12,Media,Startup,USA,No,4,158762
Data Analyst,11,Master,15,Consulting,Medium,Sweden,Yes,1,130128
Business Analyst,19,Master,12,Consulting,Large,Remote,Hybrid,0,150877
Business Analyst,18,Master,2,Healthcare,Medium,UK,No,4,157682
Frontend Developer,3,PhD,15,Technology,Startup,India,Hybrid,2,73584
Product Manager,0,Master,16,Retail,Small,Remote,No,5,120283
Software Engineer,7,Bachelor,5,Education,Small,USA,Hybrid,4,147804
Frontend Developer,19,PhD,3,Finance,Enterprise,Sweden,Yes,3,196090
Product Manager,5,PhD,16,Media,Startup,Remote,No,4,142315
Cloud Engineer,13,Diploma,9,Consulting,Startup,Sweden,No,3,131406
Business Analyst,1,Diploma,1,Retail,Medium,Germany,Yes,3,84787
